province,model_slug,popularity
陕西,saiying,B
甘肃,saiying,B
宁夏,saiying,B
青海,saiying,B
新疆,saiying,B
香港,saiying,C
澳门,saiying,C
台湾,saiying,C
北京,xuanli,B
上海,xuanli,B
天津,xuanli,A
重庆,xuanli,B
河北,xuanli,A
山西,xuanli,A
内蒙古,xuanli,A
辽宁,xuanli,B
吉林,xuanli,A
黑龙江,xuanli,A
江苏,xuanli,B
浙江,xuanli,B
安徽,xuanli,B
福建,xuanli,B
江西,xuanli,A
山东,xuanli,A
河南,xuanli,A
湖北,xuanli,A
湖南,xuanli,B
广东,xuanli,B
广西,xuanli,A
海南,xuanli,A
四川,xuanli,A
贵州,xuanli,A
云南,xuanli,A
西藏,xuanli,B
陕西,xuanli,A
甘肃,xuanli,A
宁夏,xuanli,A
青海,xuanli,A
新疆,xuanli,B
香港,xuanli,C
澳门,xuanli,C
台湾,xuanli,C
北京,changcheng-h3,B
上海,changcheng-h3,B
天津,changcheng-h3,B
重庆,changcheng-h3,A
河北,changcheng-h3,A
山西,changcheng-h3,B
内蒙古,changcheng-h3,A
辽宁,changcheng-h3,A
吉林,changcheng-h3,A
黑龙江,changcheng-h3,A
江苏,changcheng-h3,B
浙江,changcheng-h3,B
安徽,changcheng-h3,B
福建,changcheng-h3,B
江西,changcheng-h3,A
山东,changcheng-h3,A
河南,changcheng-h3,B
湖北,changcheng-h3,A
湖南,changcheng-h3,A
广东,changcheng-h3,A
广西,changcheng-h3,A
海南,changcheng-h3,B
四川,changcheng-h3,A
贵州,changcheng-h3,A
云南,changcheng-h3,A
西藏,changcheng-h3,A
陕西,changcheng-h3,A
甘肃,changcheng-h3,A
宁夏,changcheng-h3,A
青海,changcheng-h3,A
新疆,changcheng-h3,A
香港,changcheng-h3,C
澳门,changcheng-h3,C
台湾,changcheng-h3,C
北京,changcheng-tengyiv80,B
上海,changcheng-tengyiv80,B
天津,changcheng-tengyiv80,B
重庆,changcheng-tengyiv80,B
河北,changcheng-tengyiv80,B
山西,changcheng-tengyiv80,B
内蒙古,changcheng-tengyiv80,B
辽宁,changcheng-tengyiv80,B
吉林,changcheng-tengyiv80,B
黑龙江,changcheng-tengyiv80,B
江苏,changcheng-tengyiv80,B
浙江,changcheng-tengyiv80,B
安徽,changcheng-tengyiv80,B
福建,changcheng-tengyiv80,B
江西,changcheng-tengyiv80,B
山东,changcheng-tengyiv80,B
河南,changcheng-tengyiv80,B
湖北,changcheng-tengyiv80,B
湖南,changcheng-tengyiv80,B
广东,changcheng-tengyiv80,B
广西,changcheng-tengyiv80,B
海南,changcheng-tengyiv80,B
四川,changcheng-tengyiv80,B
贵州,changcheng-tengyiv80,B
云南,changcheng-tengyiv80,B
西藏,changcheng-tengyiv80,C
陕西,changcheng-tengyiv80,B
甘肃,changcheng-tengyiv80,B
宁夏,changcheng-tengyiv80,B
青海,changcheng-tengyiv80,B
新疆,changcheng-tengyiv80,B
香港,changcheng-tengyiv80,C
澳门,changcheng-tengyiv80,C
台湾,changcheng-tengyiv80,C
北京,changcheng-hafum1,B
上海,changcheng-hafum1,C
天津,changcheng-hafum1,B
重庆,changcheng-hafum1,B
河北,changcheng-hafum1,B
山西,changcheng-hafum1,B
内蒙古,changcheng-hafum1,B
辽宁,changcheng-hafum1,B
吉林,changcheng-hafum1,B
黑龙江,changcheng-hafum1,B
江苏,changcheng-hafum1,B
浙江,changcheng-hafum1,B
安徽,changcheng-hafum1,B
福建,changcheng-hafum1,B
江西,changcheng-hafum1,B
山东,changcheng-hafum1,B
河南,changcheng-hafum1,B
湖北,changcheng-hafum1,B
湖南,changcheng-hafum1,B
广东,changcheng-hafum1,B
广西,changcheng-hafum1,B
海南,changcheng-hafum1,B
四川,changcheng-hafum1,B
贵州,changcheng-hafum1,B
云南,changcheng-hafum1,B
西藏,changcheng-hafum1,C
陕西,changcheng-hafum1,B
甘肃,changcheng-hafum1,B
宁夏,changcheng-hafum1,B
青海,changcheng-hafum1,B
新疆,changcheng-hafum1,B
香港,changcheng-hafum1,C
澳门,changcheng-hafum1,C
台湾,changcheng-hafum1,C
北京,changcheng-lingao,C
上海,changcheng-lingao,B
天津,changcheng-lingao,B
重庆,changcheng-lingao,B
河北,changcheng-lingao,B
山西,changcheng-lingao,B
内蒙古,changcheng-lingao,B
辽宁,changcheng-lingao,B
吉林,changcheng-lingao,B
黑龙江,changcheng-lingao,B
江苏,changcheng-lingao,B
浙江,changcheng-lingao,C
安徽,changcheng-lingao,B
福建,changcheng-lingao,B
江西,changcheng-lingao,B
山东,changcheng-lingao,B
河南,changcheng-lingao,B
湖北,changcheng-lingao,B
湖南,changcheng-lingao,B
广东,changcheng-lingao,B
广西,changcheng-lingao,B
海南,changcheng-lingao,B
四川,changcheng-lingao,B
贵州,changcheng-lingao,B
云南,changcheng-lingao,B
西藏,changcheng-lingao,C
陕西,changcheng-lingao,B
甘肃,changcheng-lingao,B
宁夏,changcheng-lingao,B
青海,changcheng-lingao,B
新疆,changcheng-lingao,B
香港,changcheng-lingao,C
澳门,changcheng-lingao,C
台湾,changcheng-lingao,C
北京,changcheng-m2,B
上海,changcheng-m2,B
天津,changcheng-m2,B
重庆,changcheng-m2,A
河北,changcheng-m2,B
山西,changcheng-m2,B
内蒙古,changcheng-m2,B
辽宁,changcheng-m2,A
吉林,changcheng-m2,A
黑龙江,changcheng-m2,B
江苏,changcheng-m2,B
浙江,changcheng-m2,B
安徽,changcheng-m2,B
福建,changcheng-m2,B
江西,changcheng-m2,B
山东,changcheng-m2,B
河南,changcheng-m2,B
湖北,changcheng-m2,B
湖南,changcheng-m2,B
广东,changcheng-m2,B
广西,changcheng-m2,B
海南,changcheng-m2,B
四川,changcheng-m2,B
贵州,changcheng-m2,A
云南,changcheng-m2,B
西藏,changcheng-m2,B
陕西,changcheng-m2,B
甘肃,changcheng-m2,B
宁夏,changcheng-m2,B
青海,changcheng-m2,B
新疆,changcheng-m2,B
香港,changcheng-m2,C
澳门,changcheng-m2,C
台湾,changcheng-m2,C
北京,changcheng-tengyic50,B
上海,changcheng-tengyic50,B
天津,changcheng-tengyic50,B
重庆,changcheng-tengyic50,B
河北,changcheng-tengyic50,B
山西,changcheng-tengyic50,B
内蒙古,changcheng-tengyic50,B
辽宁,changcheng-tengyic50,B
吉林,changcheng-tengyic50,B
黑龙江,changcheng-tengyic50,B
江苏,changcheng-tengyic50,B
浙江,changcheng-tengyic50,B
安徽,changcheng-tengyic50,B
福建,changcheng-tengyic50,B
江西,changcheng-tengyic50,B
山东,changcheng-tengyic50,B
河南,changcheng-tengyic50,B
湖北,changcheng-tengyic50,B
湖南,changcheng-tengyic50,B
广东,changcheng-tengyic50,B
广西,changcheng-tengyic50,B
海南,changcheng-tengyic50,B
四川,changcheng-tengyic50,B
贵州,changcheng-tengyic50,A
云南,changcheng-tengyic50,B
西藏,changcheng-tengyic50,B
陕西,changcheng-tengyic50,B
甘肃,changcheng-tengyic50,B
宁夏,changcheng-tengyic50,B
青海,changcheng-tengyic50,A
新疆,changcheng-tengyic50,B
香港,changcheng-tengyic50,C
澳门,changcheng-tengyic50,C
台湾,changcheng-tengyic50,C
北京,changcheng-hafuh6,A
上海,changcheng-hafuh6,B
天津,changcheng-hafuh6,A
重庆,changcheng-hafuh6,A
河北,changcheng-hafuh6,A
山西,changcheng-hafuh6,A
内蒙古,changcheng-hafuh6,A
辽宁,changcheng-hafuh6,A
吉林,changcheng-hafuh6,A
黑龙江,changcheng-hafuh6,A
江苏,changcheng-hafuh6,A
浙江,changcheng-hafuh6,A
安徽,changcheng-hafuh6,A
福建,changcheng-hafuh6,A
江西,changcheng-hafuh6,A
山东,changcheng-hafuh6,A
河南,changcheng-hafuh6,A
湖北,changcheng-hafuh6,A
湖南,changcheng-hafuh6,A
广东,changcheng-hafuh6,A
广西,changcheng-hafuh6,A
海南,changcheng-hafuh6,A
四川,changcheng-hafuh6,A
贵州,changcheng-hafuh6,A
云南,changcheng-hafuh6,A
西藏,changcheng-hafuh6,A
陕西,changcheng-hafuh6,A
甘肃,changcheng-hafuh6,A
宁夏,changcheng-hafuh6,A
青海,changcheng-hafuh6,A
新疆,changcheng-hafuh6,A
香港,changcheng-hafuh6,C
澳门,changcheng-hafuh6,C
台湾,changcheng-hafuh6,C
北京,changcheng-fengjun5,C
上海,changcheng-fengjun5,C
天津,changcheng-fengjun5,C
重庆,changcheng-fengjun5,B
河北,changcheng-fengjun5,B
山西,changcheng-fengjun5,B
内蒙古,changcheng-fengjun5,B
辽宁,changcheng-fengjun5,B
吉林,changcheng-fengjun5,B
黑龙江,changcheng-fengjun5,B
江苏,changcheng-fengjun5,C
浙江,changcheng-fengjun5,B
安徽,changcheng-fengjun5,B
福建,changcheng-fengjun5,B
江西,changcheng-fengjun5,B
山东,changcheng-fengjun5,B
河南,changcheng-fengjun5,B
湖北,changcheng-fengjun5,B
湖南,changcheng-fengjun5,B
广东,changcheng-fengjun5,B
广西,changcheng-fengjun5,B
海南,changcheng-fengjun5,A
四川,changcheng-fengjun5,B
贵州,changcheng-fengjun5,B
云南,changcheng-fengjun5,B
西藏,changcheng-fengjun5,B
陕西,changcheng-fengjun5,B
甘肃,changcheng-fengjun5,B
宁夏,changcheng-fengjun5,A
青海,changcheng-fengjun5,B
新疆,changcheng-fengjun5,B
香港,changcheng-fengjun5,C
澳门,changcheng-fengjun5,C
台湾,changcheng-fengjun5,C
北京,changcheng-tengyic20r,C
上海,changcheng-tengyic20r,C
天津,changcheng-tengyic20r,B
重庆,changcheng-tengyic20r,B
河北,changcheng-tengyic20r,B
山西,changcheng-tengyic20r,B
内蒙古,changcheng-tengyic20r,B
辽宁,changcheng-tengyic20r,B
吉林,changcheng-tengyic20r,B
黑龙江,changcheng-tengyic20r,B
江苏,changcheng-tengyic20r,B
浙江,changcheng-tengyic20r,B
安徽,changcheng-tengyic20r,B
福建,changcheng-tengyic20r,B
江西,changcheng-tengyic20r,B
山东,changcheng-tengyic20r,B
河南,changcheng-tengyic20r,B
湖北,changcheng-tengyic20r,B
湖南,changcheng-tengyic20r,B
广东,changcheng-tengyic20r,B
广西,changcheng-tengyic20r,B
海南,changcheng-tengyic20r,C
四川,changcheng-tengyic20r,B
贵州,changcheng-tengyic20r,B
云南,changcheng-tengyic20r,B
西藏,changcheng-tengyic20r,C
陕西,changcheng-tengyic20r,B
甘肃,changcheng-tengyic20r,B
宁夏,changcheng-tengyic20r,B
青海,changcheng-tengyic20r,B
新疆,changcheng-tengyic20r,B
香港,changcheng-tengyic20r,C
澳门,changcheng-tengyic20r,C
台湾,changcheng-tengyic20r,C
北京,furuida,C
上海,furuida,C
天津,furuida,B
重庆,furuida,B
河北,furuida,B
山西,furuida,B
内蒙古,furuida,B
辽宁,furuida,B
吉林,furuida,C
黑龙江,furuida,B
江苏,furuida,B
浙江,furuida,B
安徽,furuida,B
福建,furuida,B
江西,furuida,B
山东,furuida,B
河南,furuida,B
湖北,furuida,B
湖南,furuida,B
广东,furuida,B
广西,furuida,B
海南,furuida,B
四川,furuida,B
贵州,furuida,B
云南,furuida,B
西藏,furuida,C
陕西,furuida,B
甘肃,furuida,B
宁夏,furuida,B
青海,furuida,B
新疆,furuida,B
香港,furuida,C
澳门,furuida,C
台湾,furuida,C
北京,aidier,B
上海,aidier,C
天津,aidier,B
重庆,aidier,B
河北,aidier,B
山西,aidier,B
内蒙古,aidier,B
辽宁,aidier,B
吉林,aidier,B
黑龙江,aidier,B
江苏,aidier,B
浙江,aidier,B
安徽,aidier,B
福建,aidier,B
江西,aidier,B
山东,aidier,B
河南,aidier,B
湖北,aidier,B
湖南,aidier,B
广东,aidier,B
广西,aidier,B
海南,aidier,B
四川,aidier,B
贵州,aidier,B
云南,aidier,B
西藏,aidier,B
陕西,aidier,B
甘肃,aidier,B
宁夏,aidier,B
青海,aidier,C
新疆,aidier,B
香港,aidier,C
澳门,aidier,C
台湾,aidier,C
北京,fuyun,C
上海,fuyun,C
天津,fuyun,C
重庆,fuyun,C
河北,fuyun,C
山西,fuyun,C
内蒙古,fuyun,C
辽宁,fuyun,C
吉林,fuyun,C
黑龙江,fuyun,C
江苏,fuyun,C
浙江,fuyun,C
安徽,fuyun,B
福建,fuyun,C
江西,fuyun,B
山东,fuyun,C
河南,fuyun,C
湖北,fuyun,C
湖南,fuyun,C
广东,fuyun,C
广西,fuyun,C
海南,fuyun,B
四川,fuyun,C
贵州,fuyun,B
云南,fuyun,C
西藏,fuyun,C
陕西,fuyun,C
甘肃,fuyun,C
宁夏,fuyun,C
青海,fuyun,C
新疆,fuyun,C
香港,fuyun,C
澳门,fuyun,C
台湾,fuyun,C
北京,feiteng,B
上海,feiteng,C
天津,feiteng,C
重庆,feiteng,B
河北,feiteng,B
山西,feiteng,B
内蒙古,feiteng,B
辽宁,feiteng,B
吉林,feiteng,B
黑龙江,feiteng,B
江苏,feiteng,B
浙江,feiteng,B
安徽,feiteng,B
福建,feiteng,B
江西,feiteng,B
山东,feiteng,B
河南,feiteng,B
湖北,feiteng,B
湖南,feiteng,B
广东,feiteng,B
广西,feiteng,B
海南,feiteng,C
四川,feiteng,B
贵州,feiteng,B
云南,feiteng,B
西藏,feiteng,B
陕西,feiteng,B
甘肃,feiteng,B
宁夏,feiteng,B
青海,feiteng,B
新疆,feiteng,B
香港,feiteng,C
澳门,feiteng,C
台湾,feiteng,C
北京,heijingang,B
上海,heijingang,B
天津,heijingang,B
重庆,heijingang,B
河北,heijingang,B
山西,heijingang,B
内蒙古,heijingang,A
辽宁,heijingang,B
吉林,heijingang,B
黑龙江,heijingang,B
江苏,heijingang,B
浙江,heijingang,B
安徽,heijingang,B
福建,heijingang,B
江西,heijingang,B
山东,heijingang,B
河南,heijingang,B
湖北,heijingang,B
湖南,heijingang,A
广东,heijingang,B
广西,heijingang,B
海南,heijingang,B
四川,heijingang,B
贵州,heijingang,A
云南,heijingang,A
西藏,heijingang,A
陕西,heijingang,B
甘肃,heijingang,A
宁夏,heijingang,A
青海,heijingang,A
新疆,heijingang,A
香港,heijingang,C
澳门,heijingang,C
台湾,heijingang,C
北京,cs6,B
上海,cs6,C
天津,cs6,B
重庆,cs6,B
河北,cs6,B
山西,cs6,B
内蒙古,cs6,B
辽宁,cs6,B
吉林,cs6,B
黑龙江,cs6,B
江苏,cs6,C
浙江,cs6,C
安徽,cs6,B
福建,cs6,B
江西,cs6,B
山东,cs6,B
河南,cs6,B
湖北,cs6,B
湖南,cs6,B
广东,cs6,B
广西,cs6,B
海南,cs6,B
四川,cs6,B
贵州,cs6,B
云南,cs6,B
西藏,cs6,B
陕西,cs6,B
甘肃,cs6,B
宁夏,cs6,B
青海,cs6,B
新疆,cs6,B
香港,cs6,C
澳门,cs6,C
台湾,cs6,C
北京,qibing,B
上海,qibing,C
天津,qibing,C
重庆,qibing,B
河北,qibing,B
山西,qibing,B
内蒙古,qibing,B
辽宁,qibing,B
吉林,qibing,B
黑龙江,qibing,B
江苏,qibing,B
浙江,qibing,C
安徽,qibing,B
福建,qibing,B
江西,qibing,B
山东,qibing,B
河南,qibing,B
湖北,qibing,B
湖南,qibing,B
广东,qibing,B
广西,qibing,B
海南,qibing,B
四川,qibing,B
贵州,qibing,B
云南,qibing,B
西藏,qibing,A
陕西,qibing,B
甘肃,qibing,B
宁夏,qibing,B
青海,qibing,B
新疆,qibing,B
香港,qibing,C
澳门,qibing,C
台湾,qibing,C
北京,qiling,C
上海,qiling,C
天津,qiling,C
重庆,qiling,C
河北,qiling,C
山西,qiling,C
内蒙古,qiling,C
辽宁,qiling,C
吉林,qiling,C
黑龙江,qiling,C
江苏,qiling,C
浙江,qiling,C
安徽,qiling,C
福建,qiling,C
江西,qiling,C
山东,qiling,C
河南,qiling,C
湖北,qiling,C
湖南,qiling,B
广东,qiling,C
广西,qiling,C
海南,qiling,C
四川,qiling,C
贵州,qiling,C
云南,qiling,C
西藏,qiling,C
陕西,qiling,B
甘肃,qiling,C
宁夏,qiling,C
青海,qiling,C
新疆,qiling,C
香港,qiling,C
澳门,qiling,C
台湾,qiling,C
北京,yema-f99,C
上海,yema-f99,C
天津,yema-f99,C
重庆,yema-f99,B
河北,yema-f99,B
山西,yema-f99,B
内蒙古,yema-f99,B
辽宁,yema-f99,B
吉林,yema-f99,B
黑龙江,yema-f99,B
江苏,yema-f99,C
浙江,yema-f99,C
安徽,yema-f99,B
福建,yema-f99,B
江西,yema-f99,B
山东,yema-f99,B
河南,yema-f99,B
湖北,yema-f99,B
湖南,yema-f99,B
广东,yema-f99,C
广西,yema-f99,B
海南,yema-f99,C
四川,yema-f99,B
贵州,yema-f99,B
云南,yema-f99,B
西藏,yema-f99,C
陕西,yema-f99,B
甘肃,yema-f99,B
宁夏,yema-f99,B
青海,yema-f99,C
新疆,yema-f99,B
香港,yema-f99,C
澳门,yema-f99,C
台湾,yema-f99,C
北京,dongfeng-xiaowangzi,C
上海,dongfeng-xiaowangzi,C
天津,dongfeng-xiaowangzi,B
重庆,dongfeng-xiaowangzi,C
河北,dongfeng-xiaowangzi,B
山西,dongfeng-xiaowangzi,B
内蒙古,dongfeng-xiaowangzi,C
辽宁,dongfeng-xiaowangzi,C
吉林,dongfeng-xiaowangzi,C
黑龙江,dongfeng-xiaowangzi,C
江苏,dongfeng-xiaowangzi,C
浙江,dongfeng-xiaowangzi,C
安徽,dongfeng-xiaowangzi,C
福建,dongfeng-xiaowangzi,C
江西,dongfeng-xiaowangzi,C
山东,dongfeng-xiaowangzi,B
河南,dongfeng-xiaowangzi,C
湖北,dongfeng-xiaowangzi,B
湖南,dongfeng-xiaowangzi,B
广东,dongfeng-xiaowangzi,C
广西,dongfeng-xiaowangzi,B
海南,dongfeng-xiaowangzi,C
四川,dongfeng-xiaowangzi,C
贵州,dongfeng-xiaowangzi,C
云南,dongfeng-xiaowangzi,C
西藏,dongfeng-xiaowangzi,C
陕西,dongfeng-xiaowangzi,C
甘肃,dongfeng-xiaowangzi,C
宁夏,dongfeng-xiaowangzi,C
青海,dongfeng-xiaowangzi,C
新疆,dongfeng-xiaowangzi,C
香港,dongfeng-xiaowangzi,C
澳门,dongfeng-xiaowangzi,C
台湾,dongfeng-xiaowangzi,C
北京,badao-suv,C
上海,badao-suv,C
天津,badao-suv,C
重庆,badao-suv,C
河北,badao-suv,C
山西,badao-suv,C
内蒙古,badao-suv,C
辽宁,badao-suv,B
吉林,badao-suv,C
黑龙江,badao-suv,C
江苏,badao-suv,C
浙江,badao-suv,C
安徽,badao-suv,C
福建,badao-suv,C
江西,badao-suv,C
山东,badao-suv,B
河南,badao-suv,C
湖北,badao-suv,C
湖南,badao-suv,C
广东,badao-suv,B
广西,badao-suv,C
海南,badao-suv,C
四川,badao-suv,C
贵州,badao-suv,C
云南,badao-suv,C
西藏,badao-suv,C
陕西,badao-suv,C
甘肃,badao-suv,C
宁夏,badao-suv,C
青海,badao-suv,B
新疆,badao-suv,C
香港,badao-suv,C
澳门,badao-suv,C
台湾,badao-suv,C
北京,dushijunma-suv,C
上海,dushijunma-suv,C
天津,dushijunma-suv,C
重庆,dushijunma-suv,B
河北,dushijunma-suv,C
山西,dushijunma-suv,C
内蒙古,dushijunma-suv,C
辽宁,dushijunma-suv,B
吉林,dushijunma-suv,B
黑龙江,dushijunma-suv,C
江苏,dushijunma-suv,C
浙江,dushijunma-suv,C
安徽,dushijunma-suv,B
福建,dushijunma-suv,C
江西,dushijunma-suv,C
山东,dushijunma-suv,B
河南,dushijunma-suv,C
湖北,dushijunma-suv,B
湖南,dushijunma-suv,C
广东,dushijunma-suv,B
广西,dushijunma-suv,B
海南,dushijunma-suv,C
四川,dushijunma-suv,B
贵州,dushijunma-suv,C
云南,dushijunma-suv,B
西藏,dushijunma-suv,C
陕西,dushijunma-suv,C
甘肃,dushijunma-suv,B
宁夏,dushijunma-suv,C
青海,dushijunma-suv,C
新疆,dushijunma-suv,B
香港,dushijunma-suv,C
澳门,dushijunma-suv,C
台湾,dushijunma-suv,C
北京,dianya,C
上海,dianya,C
天津,dianya,C
重庆,dianya,C
河北,dianya,C
山西,dianya,C
内蒙古,dianya,C
辽宁,dianya,C
吉林,dianya,C
黑龙江,dianya,C
江苏,dianya,C
浙江,dianya,C
安徽,dianya,C
福建,dianya,C
江西,dianya,C
山东,dianya,C
河南,dianya,C
湖北,dianya,C
湖南,dianya,C
广东,dianya,C
广西,dianya,C
海南,dianya,C
四川,dianya,C
贵州,dianya,C
云南,dianya,C
西藏,dianya,C
陕西,dianya,C
甘肃,dianya,C
宁夏,dianya,C
青海,dianya,B
新疆,dianya,C
香港,dianya,C
澳门,dianya,C
台湾,dianya,C
北京,lanlong,C
上海,lanlong,C
天津,lanlong,C
重庆,lanlong,C
河北,lanlong,C
山西,lanlong,C
内蒙古,lanlong,C
辽宁,lanlong,C
吉林,lanlong,C
黑龙江,lanlong,C
江苏,lanlong,C
浙江,lanlong,C
安徽,lanlong,C
福建,lanlong,C
江西,lanlong,B
山东,lanlong,C
河南,lanlong,C
湖北,lanlong,B
湖南,lanlong,C
广东,lanlong,B
广西,lanlong,C
海南,lanlong,B
四川,lanlong,C
贵州,lanlong,C
云南,lanlong,C
西藏,lanlong,C
陕西,lanlong,C
甘肃,lanlong,C
宁夏,lanlong,C
青海,lanlong,C
新疆,lanlong,C
香港,lanlong,C
澳门,lanlong,C
台湾,lanlong,C
北京,lvxingjia,C
上海,lvxingjia,C
天津,lvxingjia,C
重庆,lvxingjia,C
河北,lvxingjia,C
山西,lvxingjia,C
内蒙古,lvxingjia,C
辽宁,lvxingjia,B
吉林,lvxingjia,C
黑龙江,lvxingjia,C
江苏,lvxingjia,C
浙江,lvxingjia,C
安徽,lvxingjia,C
福建,lvxingjia,C
江西,lvxingjia,C
山东,lvxingjia,C
河南,lvxingjia,C
湖北,lvxingjia,C
湖南,lvxingjia,C
广东,lvxingjia,B
广西,lvxingjia,C
海南,lvxingjia,B
四川,lvxingjia,C
贵州,lvxingjia,C
云南,lvxingjia,C
西藏,lvxingjia,C
陕西,lvxingjia,C
甘肃,lvxingjia,C
宁夏,lvxingjia,C
青海,lvxingjia,C
新疆,lvxingjia,C
香港,lvxingjia,C
澳门,lvxingjia,C
台湾,lvxingjia,C
北京,delika,B
上海,delika,B
天津,delika,B
重庆,delika,C
河北,delika,B
山西,delika,C
内蒙古,delika,C
辽宁,delika,B
吉林,delika,B
黑龙江,delika,C
江苏,delika,B
浙江,delika,B
安徽,delika,B
福建,delika,B
江西,delika,C
山东,delika,B
河南,delika,B
湖北,delika,B
湖南,delika,B
广东,delika,B
广西,delika,B
海南,delika,C
四川,delika,C
贵州,delika,B
云南,delika,B
西藏,delika,C
陕西,delika,B
甘肃,delika,C
宁夏,delika,B
青海,delika,B
新疆,delika,B
香港,delika,C
澳门,delika,C
台湾,delika,C
北京,fulika,B
上海,fulika,B
天津,fulika,B
重庆,fulika,C
河北,fulika,B
山西,fulika,C
内蒙古,fulika,B
辽宁,fulika,B
吉林,fulika,C
黑龙江,fulika,B
江苏,fulika,B
浙江,fulika,B
安徽,fulika,B
福建,fulika,B
江西,fulika,B
山东,fulika,B
河南,fulika,B
湖北,fulika,B
湖南,fulika,B
广东,fulika,B
广西,fulika,B
海南,fulika,B
四川,fulika,C
贵州,fulika,B
云南,fulika,B
西藏,fulika,C
陕西,fulika,B
甘肃,fulika,C
宁夏,fulika,B
青海,fulika,B
新疆,fulika,B
香港,fulika,C
澳门,fulika,C
台湾,fulika,C
北京,lingshuai,B
上海,lingshuai,B
天津,lingshuai,A
重庆,lingshuai,B
河北,lingshuai,B
山西,lingshuai,B
内蒙古,lingshuai,B
辽宁,lingshuai,B
吉林,lingshuai,B
黑龙江,lingshuai,B
江苏,lingshuai,B
浙江,lingshuai,B
安徽,lingshuai,B
福建,lingshuai,B
江西,lingshuai,B
山东,lingshuai,B
河南,lingshuai,B
湖北,lingshuai,B
湖南,lingshuai,B
广东,lingshuai,A
广西,lingshuai,B
海南,lingshuai,B
四川,lingshuai,B
贵州,lingshuai,B
云南,lingshuai,B
西藏,lingshuai,B
陕西,lingshuai,B
甘肃,lingshuai,B
宁夏,lingshuai,B
青海,lingshuai,B
新疆,lingshuai,B
香港,lingshuai,A
澳门,lingshuai,C
台湾,lingshuai,C
北京,v3-lingyue,A
上海,v3-lingyue,A
天津,v3-lingyue,A
重庆,v3-lingyue,A
河北,v3-lingyue,A
山西,v3-lingyue,A
内蒙古,v3-lingyue,A
辽宁,v3-lingyue,A
吉林,v3-lingyue,A
黑龙江,v3-lingyue,A
江苏,v3-lingyue,A
浙江,v3-lingyue,A
安徽,v3-lingyue,A
福建,v3-lingyue,A
江西,v3-lingyue,A
山东,v3-lingyue,A
河南,v3-lingyue,A
湖北,v3-lingyue,A
湖南,v3-lingyue,A
广东,v3-lingyue,A
广西,v3-lingyue,A
海南,v3-lingyue,A
四川,v3-lingyue,A
贵州,v3-lingyue,A
云南,v3-lingyue,A
西藏,v3-lingyue,C
陕西,v3-lingyue,A
甘肃,v3-lingyue,A
宁夏,v3-lingyue,A
青海,v3-lingyue,A
新疆,v3-lingyue,A
香港,v3-lingyue,C
澳门,v3-lingyue,C
台湾,v3-lingyue,C
北京,xiwang,C
上海,xiwang,C
天津,xiwang,B
重庆,xiwang,C
河北,xiwang,C
山西,xiwang,C
内蒙古,xiwang,C
辽宁,xiwang,C
吉林,xiwang,C
黑龙江,xiwang,C
江苏,xiwang,C
浙江,xiwang,C
安徽,xiwang,C
福建,xiwang,B
江西,xiwang,C
山东,xiwang,C
河南,xiwang,C
湖北,xiwang,C
湖南,xiwang,C
广东,xiwang,B
广西,xiwang,C
海南,xiwang,C
四川,xiwang,C
贵州,xiwang,C
云南,xiwang,C
西藏,xiwang,C
陕西,xiwang,C
甘肃,xiwang,C
宁夏,xiwang,C
青海,xiwang,C
新疆,xiwang,C
香港,xiwang,C
澳门,xiwang,C
台湾,xiwang,C
北京,fengzhe,C
上海,fengzhe,B
天津,fengzhe,C
重庆,fengzhe,C
河北,fengzhe,C
山西,fengzhe,C
内蒙古,fengzhe,C
辽宁,fengzhe,C
吉林,fengzhe,C
黑龙江,fengzhe,C
江苏,fengzhe,C
浙江,fengzhe,C
安徽,fengzhe,C
福建,fengzhe,C
江西,fengzhe,C
山东,fengzhe,C
河南,fengzhe,C
湖北,fengzhe,C
湖南,fengzhe,C
广东,fengzhe,C
广西,fengzhe,C
海南,fengzhe,C
四川,fengzhe,C
贵州,fengzhe,C
云南,fengzhe,C
西藏,fengzhe,C
陕西,fengzhe,B
甘肃,fengzhe,C
宁夏,fengzhe,C
青海,fengzhe,C
新疆,fengzhe,C
香港,fengzhe,C
澳门,fengzhe,C
台湾,fengzhe,C
北京,kubo,B
上海,kubo,B
天津,kubo,B
重庆,kubo,B
河北,kubo,B
山西,kubo,B
内蒙古,kubo,B
辽宁,kubo,B
吉林,kubo,B
黑龙江,kubo,B
江苏,kubo,B
浙江,kubo,B
安徽,kubo,B
福建,kubo,B
江西,kubo,C
山东,kubo,B
河南,kubo,B
湖北,kubo,B
湖南,kubo,B
广东,kubo,C
广西,kubo,B
海南,kubo,C
四川,kubo,B
贵州,kubo,B
云南,kubo,B
西藏,kubo,C
陕西,kubo,B
甘肃,kubo,B
宁夏,kubo,B
青海,kubo,B
新疆,kubo,B
香港,kubo,C
澳门,kubo,C
台湾,kubo,C
北京,kailing,B
上海,kailing,C
天津,kailing,B
重庆,kailing,B
河北,kailing,C
山西,kailing,B
内蒙古,kailing,C
辽宁,kailing,B
吉林,kailing,C
黑龙江,kailing,C
江苏,kailing,B
浙江,kailing,B
安徽,kailing,B
福建,kailing,C
江西,kailing,C
山东,kailing,C
河南,kailing,C
湖北,kailing,B
湖南,kailing,C
广东,kailing,C
广西,kailing,C
海南,kailing,B
四川,kailing,C
